step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
287,213112,2296,0.3280236826345838,0.0,0.782608695652174
288,213888,2304,0.27457881576578097,0.0,0.8029556650246306
289,214536,2312,0.3017109472736131,0.0,0.7928994082840237
290,215440,2320,0.18099061063683816,0.0,0.8274111675126904
291,216216,2328,0.22773422620024986,0.0,0.8461538461538461
292,216992,2336,0.28862471344836554,0.0,0.8137651821862348
293,217768,2344,0.2759719509528944,0.0,0.8028846153846154
294,218800,2352,0.17591975980196312,0.0,0.7906976744186046
295,219512,2360,0.2601974062766788,0.0,0.8238095238095238
296,220224,2368,0.25286447846885546,0.0,0.8366336633663366
297,221000,2376,0.39305251364990784,0.0,0.7956204379562044
298,221904,2384,0.30214908421970577,0.0,0.7975206611570248
299,222744,2392,0.3272518496521056,0.0,0.7606837606837606
300,223520,2400,0.215654962082498,0.0,0.8509615384615384
301,224232,2408,0.35622683787932774,0.0,0.7914893617021277
302,225008,2416,0.25541600276652965,0.0,0.8133333333333334
303,225848,2424,0.3335643534728596,0.0,0.7933884297520661
304,226496,2432,0.3970486616563699,0.0,0.7924528301886793
305,227336,2440,0.2386136342857762,0.0,0.8341463414634146
306,228112,2448,0.2214923386049492,0.0,0.8125
307,229016,2456,0.32251423298954,0.0,0.8136200716845878
308,229792,2464,0.2905347041066979,0.0,0.8
309,230440,2472,0.2343272747516855,0.0,0.8023255813953488
310,231088,2480,0.265118762562336,0.0,0.8291457286432161
311,232120,2488,0.32541599908230556,0.0,0.7638376383763837
312,232896,2496,0.2975240018556415,0.0,0.8249027237354085
313,233800,2504,0.21959332312566637,0.0,0.8535564853556485
314,234256,2512,0.43298775304801335,0.0,0.7903225806451613
315,234840,2520,0.3537602068731552,0.0,0.8092783505154639
316,235680,2528,0.2657016421713113,0.0,0.7924528301886793
317,236520,2536,0.21567946280655936,0.0,0.8309178743961353
318,237296,2544,0.2495037640226692,0.0,0.8421052631578947
319,238200,2552,0.2143427043891993,0.0,0.8185654008438819
320,238848,2560,0.31675674829200073,0.0,0.7647058823529411
321,239432,2568,0.3945689224135311,0.0,0.8078817733990148
322,240208,2576,0.25427422208788747,0.0,0.8268398268398268
323,240920,2584,0.26606505630879684,0.0,0.8086124401913876
324,241504,2592,0.28650687683338405,0.0,0.8212290502793296
325,242216,2600,0.24157867185395646,0.0,0.8660714285714286
326,242864,2608,0.2387808831655449,0.0,0.8526315789473684
327,243448,2616,0.3749281130335371,0.0,0.8009708737864077
328,244352,2624,0.2829999001121815,0.0,0.83399209486166
329,245000,2632,0.3593224344897072,0.0,0.751412429378531
330,245968,2640,0.30142143656355036,0.0,0.7799227799227799
331,246680,2648,0.33256236986060234,0.0,0.7934272300469484
332,247392,2656,0.31393384613384173,0.0,0.8232323232323232
333,248040,2664,0.2775520188675934,0.0,0.8012048192771084
334,248816,2672,0.27637926728306933,0.0,0.8288288288288288
335,249720,2680,0.22730757334559262,0.0,0.8333333333333334
336,250496,2688,0.26066943000982384,0.0,0.8384615384615385
337,251208,2696,0.2583645669626392,0.0,0.8408163265306122
338,252048,2704,0.28008283603440365,0.0,0.8240343347639485
339,252632,2712,0.5669436667039077,0.0,0.7412935323383084
340,253344,2720,0.29575559780811445,0.0,0.8325991189427313
341,254120,2728,0.2630449428863351,0.0,0.7760416666666666
342,255152,2736,0.3223193536153077,0.0,0.7892976588628763
343,256056,2744,0.21613095124567125,0.0,0.8248847926267281
344,256896,2752,0.22074569833470764,0.0,0.8366336633663366
345,257672,2760,0.21588749220773948,0.0,0.8423236514522822
346,258320,2768,0.46749178619826387,0.0,0.759825327510917
347,259160,2776,0.17991345533893968,0.0,0.8415300546448088
348,259872,2784,0.34867825655346524,0.0,0.7873303167420814
349,260520,2792,0.39191714403532574,0.0,0.8017241379310345
350,261104,2800,0.24127447052535883,0.0,0.8762376237623762
351,261496,2808,0.3368872187999677,0.125,0.8620689655172413
352,262080,2816,0.38294610086181813,0.0,0.8092783505154639
353,262984,2824,0.2720226893404261,0.0,0.8076923076923077
354,264016,2832,0.30988798087067804,0.0,0.781021897810219
355,264600,2840,0.34988464896120547,0.0,0.79
356,265440,2848,0.3452647641263043,0.0,0.7918367346938775
357,266152,2856,0.24563523150552527,0.0,0.8177339901477833
358,266736,2864,0.27312034955835285,0.0,0.8181818181818182
359,267320,2872,0.3363330088463996,0.0,0.8186813186813187
360,267968,2880,0.3645361407559214,0.0,0.7671957671957672
361,268744,2888,0.24995133127553149,0.0,0.8046511627906977
362,269456,2896,0.33701818247838733,0.0,0.7857142857142857
